Disease,Vector,Attribute,Neglected,AI_Type,Objective,Query,Result_Count
rift valley fever,mosquito,virus,N,fuzzy logic,diagnostic,rift valley fever AND fuzzy logic AND diagnostic,0
yellow fever,mosquito,virus,Y,deep learning,surveillance,yellow fever AND deep learning AND surveillance,1
yellow fever,mosquito,virus,Y,deep learning,forecast,yellow fever AND deep learning AND forecast,0
yellow fever,mosquito,virus,Y,deep learning,early warning system,yellow fever AND deep learning AND early warning system,0
yellow fever,mosquito,virus,Y,deep learning,diagnostic,yellow fever AND deep learning AND diagnostic,0
yellow fever,mosquito,virus,Y,machine learning,surveillance,yellow fever AND machine learning AND surveillance,7
yellow fever,mosquito,virus,Y,machine learning,forecast,yellow fever AND machine learning AND forecast,2
yellow fever,mosquito,virus,Y,machine learning,early warning system,yellow fever AND machine learning AND early warning system,1
yellow fever,mosquito,virus,Y,machine learning,diagnostic,yellow fever AND machine learning AND diagnostic,4
yellow fever,mosquito,virus,Y,k-means clustering,surveillance,yellow fever AND k-means clustering AND surveillance,0
yellow fever,mosquito,virus,Y,k-means clustering,forecast,yellow fever AND k-means clustering AND forecast,0
yellow fever,mosquito,virus,Y,k-means clustering,early warning system,yellow fever AND k-means clustering AND early warning system,0
yellow fever,mosquito,virus,Y,k-means clustering,diagnostic,yellow fever AND k-means clustering AND diagnostic,0
yellow fever,mosquito,virus,Y,logistic regression,surveillance,yellow fever AND logistic regression AND surveillance,29
yellow fever,mosquito,virus,Y,logistic regression,forecast,yellow fever AND logistic regression AND forecast,2
yellow fever,mosquito,virus,Y,logistic regression,early warning system,yellow fever AND logistic regression AND early warning system,0
yellow fever,mosquito,virus,Y,logistic regression,diagnostic,yellow fever AND logistic regression AND diagnostic,13
yellow fever,mosquito,virus,Y,support vector machine,surveillance,yellow fever AND support vector machine AND surveillance,3
yellow fever,mosquito,virus,Y,support vector machine,forecast,yellow fever AND support vector machine AND forecast,1
yellow fever,mosquito,virus,Y,support vector machine,early warning system,yellow fever AND support vector machine AND early warning system,1
yellow fever,mosquito,virus,Y,support vector machine,diagnostic,yellow fever AND support vector machine AND diagnostic,0
yellow fever,mosquito,virus,Y,text mining,surveillance,yellow fever AND text mining AND surveillance,3
yellow fever,mosquito,virus,Y,text mining,forecast,yellow fever AND text mining AND forecast,0
yellow fever,mosquito,virus,Y,text mining,early warning system,yellow fever AND text mining AND early warning system,0
yellow fever,mosquito,virus,Y,text mining,diagnostic,yellow fever AND text mining AND diagnostic,1
yellow fever,mosquito,virus,Y,artificial neural networks,surveillance,yellow fever AND artificial neural networks AND surveillance,1
yellow fever,mosquito,virus,Y,artificial neural networks,forecast,yellow fever AND artificial neural networks AND forecast,0
yellow fever,mosquito,virus,Y,artificial neural networks,early warning system,yellow fever AND artificial neural networks AND early warning system,0
yellow fever,mosquito,virus,Y,artificial neural networks,diagnostic,yellow fever AND artificial neural networks AND diagnostic,1
yellow fever,mosquito,virus,Y,expert system,surveillance,yellow fever AND expert system AND surveillance,6
yellow fever,mosquito,virus,Y,expert system,forecast,yellow fever AND expert system AND forecast,0
yellow fever,mosquito,virus,Y,expert system,early warning system,yellow fever AND expert system AND early warning system,0
yellow fever,mosquito,virus,Y,expert system,diagnostic,yellow fever AND expert system AND diagnostic,2
yellow fever,mosquito,virus,Y,random forest,surveillance,yellow fever AND random forest AND surveillance,7
yellow fever,mosquito,virus,Y,random forest,forecast,yellow fever AND random forest AND forecast,1
yellow fever,mosquito,virus,Y,random forest,early warning system,yellow fever AND random forest AND early warning system,0
yellow fever,mosquito,virus,Y,random forest,diagnostic,yellow fever AND random forest AND diagnostic,3
yellow fever,mosquito,virus,Y,decision trees,surveillance,yellow fever AND decision trees AND surveillance,1
yellow fever,mosquito,virus,Y,decision trees,forecast,yellow fever AND decision trees AND forecast,0
yellow fever,mosquito,virus,Y,decision trees,early warning system,yellow fever AND decision trees AND early warning system,0
yellow fever,mosquito,virus,Y,decision trees,diagnostic,yellow fever AND decision trees AND diagnostic,0
yellow fever,mosquito,virus,Y,gradient boosting,surveillance,yellow fever AND gradient boosting AND surveillance,1
yellow fever,mosquito,virus,Y,gradient boosting,forecast,yellow fever AND gradient boosting AND forecast,0
yellow fever,mosquito,virus,Y,gradient boosting,early warning system,yellow fever AND gradient boosting AND early warning system,0
yellow fever,mosquito,virus,Y,gradient boosting,diagnostic,yellow fever AND gradient boosting AND diagnostic,0
yellow fever,mosquito,virus,Y,natural language processing,surveillance,yellow fever AND natural language processing AND surveillance,0
yellow fever,mosquito,virus,Y,natural language processing,forecast,yellow fever AND natural language processing AND forecast,0
yellow fever,mosquito,virus,Y,natural language processing,early warning system,yellow fever AND natural language processing AND early warning system,0
yellow fever,mosquito,virus,Y,natural language processing,diagnostic,yellow fever AND natural language processing AND diagnostic,0
yellow fever,mosquito,virus,Y,sentiment analysis,surveillance,yellow fever AND sentiment analysis AND surveillance,1
yellow fever,mosquito,virus,Y,sentiment analysis,forecast,yellow fever AND sentiment analysis AND forecast,0
yellow fever,mosquito,virus,Y,sentiment analysis,early warning system,yellow fever AND sentiment analysis AND early warning system,0
yellow fever,mosquito,virus,Y,sentiment analysis,diagnostic,yellow fever AND sentiment analysis AND diagnostic,0
yellow fever,mosquito,virus,Y,fuzzy logic,surveillance,yellow fever AND fuzzy logic AND surveillance,0
yellow fever,mosquito,virus,Y,fuzzy logic,forecast,yellow fever AND fuzzy logic AND forecast,0
yellow fever,mosquito,virus,Y,fuzzy logic,early warning system,yellow fever AND fuzzy logic AND early warning system,0
yellow fever,mosquito,virus,Y,fuzzy logic,diagnostic,yellow fever AND fuzzy logic AND diagnostic,0
malaria,mosquito,parasite,Y,deep learning,surveillance,malaria AND deep learning AND surveillance,20
malaria,mosquito,parasite,Y,deep learning,forecast,malaria AND deep learning AND forecast,8
malaria,mosquito,parasite,Y,deep learning,early warning system,malaria AND deep learning AND early warning system,2
malaria,mosquito,parasite,Y,deep learning,diagnostic,malaria AND deep learning AND diagnostic,77
malaria,mosquito,parasite,Y,machine learning,surveillance,malaria AND machine learning AND surveillance,98
malaria,mosquito,parasite,Y,machine learning,forecast,malaria AND machine learning AND forecast,28
malaria,mosquito,parasite,Y,machine learning,early warning system,malaria AND machine learning AND early warning system,7
malaria,mosquito,parasite,Y,machine learning,diagnostic,malaria AND machine learning AND diagnostic,148
malaria,mosquito,parasite,Y,k-means clustering,surveillance,malaria AND k-means clustering AND surveillance,11
malaria,mosquito,parasite,Y,k-means clustering,forecast,malaria AND k-means clustering AND forecast,2
malaria,mosquito,parasite,Y,k-means clustering,early warning system,malaria AND k-means clustering AND early warning system,0
malaria,mosquito,parasite,Y,k-means clustering,diagnostic,malaria AND k-means clustering AND diagnostic,9
malaria,mosquito,parasite,Y,logistic regression,surveillance,malaria AND logistic regression AND surveillance,1414
malaria,mosquito,parasite,Y,logistic regression,forecast,malaria AND logistic regression AND forecast,86
malaria,mosquito,parasite,Y,logistic regression,early warning system,malaria AND logistic regression AND early warning system,4
malaria,mosquito,parasite,Y,logistic regression,diagnostic,malaria AND logistic regression AND diagnostic,806
malaria,mosquito,parasite,Y,support vector machine,surveillance,malaria AND support vector machine AND surveillance,22
malaria,mosquito,parasite,Y,support vector machine,forecast,malaria AND support vector machine AND forecast,5
malaria,mosquito,parasite,Y,support vector machine,early warning system,malaria AND support vector machine AND early warning system,3
malaria,mosquito,parasite,Y,support vector machine,diagnostic,malaria AND support vector machine AND diagnostic,26
malaria,mosquito,parasite,Y,text mining,surveillance,malaria AND text mining AND surveillance,94
malaria,mosquito,parasite,Y,text mining,forecast,malaria AND text mining AND forecast,10
malaria,mosquito,parasite,Y,text mining,early warning system,malaria AND text mining AND early warning system,2
malaria,mosquito,parasite,Y,text mining,diagnostic,malaria AND text mining AND diagnostic,54
malaria,mosquito,parasite,Y,artificial neural networks,surveillance,malaria AND artificial neural networks AND surveillance,13
malaria,mosquito,parasite,Y,artificial neural networks,forecast,malaria AND artificial neural networks AND forecast,6
malaria,mosquito,parasite,Y,artificial neural networks,early warning system,malaria AND artificial neural networks AND early warning system,0
malaria,mosquito,parasite,Y,artificial neural networks,diagnostic,malaria AND artificial neural networks AND diagnostic,27
malaria,mosquito,parasite,Y,expert system,surveillance,malaria AND expert system AND surveillance,56
malaria,mosquito,parasite,Y,expert system,forecast,malaria AND expert system AND forecast,19
malaria,mosquito,parasite,Y,expert system,early warning system,malaria AND expert system AND early warning system,0
malaria,mosquito,parasite,Y,expert system,diagnostic,malaria AND expert system AND diagnostic,72
malaria,mosquito,parasite,Y,random forest,surveillance,malaria AND random forest AND surveillance,45
malaria,mosquito,parasite,Y,random forest,forecast,malaria AND random forest AND forecast,6
malaria,mosquito,parasite,Y,random forest,early warning system,malaria AND random forest AND early warning system,3
malaria,mosquito,parasite,Y,random forest,diagnostic,malaria AND random forest AND diagnostic,37
malaria,mosquito,parasite,Y,decision trees,surveillance,malaria AND decision trees AND surveillance,33
malaria,mosquito,parasite,Y,decision trees,forecast,malaria AND decision trees AND forecast,0
malaria,mosquito,parasite,Y,decision trees,early warning system,malaria AND decision trees AND early warning system,0
malaria,mosquito,parasite,Y,decision trees,diagnostic,malaria AND decision trees AND diagnostic,30
malaria,mosquito,parasite,Y,gradient boosting,surveillance,malaria AND gradient boosting AND surveillance,10
malaria,mosquito,parasite,Y,gradient boosting,forecast,malaria AND gradient boosting AND forecast,0
malaria,mosquito,parasite,Y,gradient boosting,early warning system,malaria AND gradient boosting AND early warning system,0
malaria,mosquito,parasite,Y,gradient boosting,diagnostic,malaria AND gradient boosting AND diagnostic,2
malaria,mosquito,parasite,Y,natural language processing,surveillance,malaria AND natural language processing AND surveillance,2
malaria,mosquito,parasite,Y,natural language processing,forecast,malaria AND natural language processing AND forecast,0
malaria,mosquito,parasite,Y,natural language processing,early warning system,malaria AND natural language processing AND early warning system,0
malaria,mosquito,parasite,Y,natural language processing,diagnostic,malaria AND natural language processing AND diagnostic,1
malaria,mosquito,parasite,Y,sentiment analysis,surveillance,malaria AND sentiment analysis AND surveillance,1
malaria,mosquito,parasite,Y,sentiment analysis,forecast,malaria AND sentiment analysis AND forecast,0
malaria,mosquito,parasite,Y,sentiment analysis,early warning system,malaria AND sentiment analysis AND early warning system,0
malaria,mosquito,parasite,Y,sentiment analysis,diagnostic,malaria AND sentiment analysis AND diagnostic,0
malaria,mosquito,parasite,Y,fuzzy logic,surveillance,malaria AND fuzzy logic AND surveillance,6
malaria,mosquito,parasite,Y,fuzzy logic,forecast,malaria AND fuzzy logic AND forecast,2
malaria,mosquito,parasite,Y,fuzzy logic,early warning system,malaria AND fuzzy logic AND early warning system,0
malaria,mosquito,parasite,Y,fuzzy logic,diagnostic,malaria AND fuzzy logic AND diagnostic,4
japanese encephalitis,mosquito,virus,N,deep learning,surveillance,japanese encephalitis AND deep learning AND surveillance,0
japanese encephalitis,mosquito,virus,N,deep learning,forecast,japanese encephalitis AND deep learning AND forecast,0
japanese encephalitis,mosquito,virus,N,deep learning,early warning system,japanese encephalitis AND deep learning AND early warning system,0
japanese encephalitis,mosquito,virus,N,deep learning,diagnostic,japanese encephalitis AND deep learning AND diagnostic,1
japanese encephalitis,mosquito,virus,N,machine learning,surveillance,japanese encephalitis AND machine learning AND surveillance,0
japanese encephalitis,mosquito,virus,N,machine learning,forecast,japanese encephalitis AND machine learning AND forecast,1
japanese encephalitis,mosquito,virus,N,machine learning,early warning system,japanese encephalitis AND machine learning AND early warning system,0
japanese encephalitis,mosquito,virus,N,machine learning,diagnostic,japanese encephalitis AND machine learning AND diagnostic,1
japanese encephalitis,mosquito,virus,N,k-means clustering,surveillance,japanese encephalitis AND k-means clustering AND surveillance,0
japanese encephalitis,mosquito,virus,N,k-means clustering,forecast,japanese encephalitis AND k-means clustering AND forecast,0
japanese encephalitis,mosquito,virus,N,k-means clustering,early warning system,japanese encephalitis AND k-means clustering AND early warning system,0
japanese encephalitis,mosquito,virus,N,k-means clustering,diagnostic,japanese encephalitis AND k-means clustering AND diagnostic,0
japanese encephalitis,mosquito,virus,N,logistic regression,surveillance,japanese encephalitis AND logistic regression AND surveillance,30
japanese encephalitis,mosquito,virus,N,logistic regression,forecast,japanese encephalitis AND logistic regression AND forecast,2
japanese encephalitis,mosquito,virus,N,logistic regression,early warning system,japanese encephalitis AND logistic regression AND early warning system,0
japanese encephalitis,mosquito,virus,N,logistic regression,diagnostic,japanese encephalitis AND logistic regression AND diagnostic,19
japanese encephalitis,mosquito,virus,N,support vector machine,surveillance,japanese encephalitis AND support vector machine AND surveillance,1
japanese encephalitis,mosquito,virus,N,support vector machine,forecast,japanese encephalitis AND support vector machine AND forecast,0
japanese encephalitis,mosquito,virus,N,support vector machine,early warning system,japanese encephalitis AND support vector machine AND early warning system,0
japanese encephalitis,mosquito,virus,N,support vector machine,diagnostic,japanese encephalitis AND support vector machine AND diagnostic,1
japanese encephalitis,mosquito,virus,N,text mining,surveillance,japanese encephalitis AND text mining AND surveillance,3
japanese encephalitis,mosquito,virus,N,text mining,forecast,japanese encephalitis AND text mining AND forecast,1
japanese encephalitis,mosquito,virus,N,text mining,early warning system,japanese encephalitis AND text mining AND early warning system,0
japanese encephalitis,mosquito,virus,N,text mining,diagnostic,japanese encephalitis AND text mining AND diagnostic,2
japanese encephalitis,mosquito,virus,N,artificial neural networks,surveillance,japanese encephalitis AND artificial neural networks AND surveillance,0
japanese encephalitis,mosquito,virus,N,artificial neural networks,forecast,japanese encephalitis AND artificial neural networks AND forecast,0
japanese encephalitis,mosquito,virus,N,artificial neural networks,early warning system,japanese encephalitis AND artificial neural networks AND early warning system,0
japanese encephalitis,mosquito,virus,N,artificial neural networks,diagnostic,japanese encephalitis AND artificial neural networks AND diagnostic,0
japanese encephalitis,mosquito,virus,N,expert system,surveillance,japanese encephalitis AND expert system AND surveillance,2
japanese encephalitis,mosquito,virus,N,expert system,forecast,japanese encephalitis AND expert system AND forecast,0
japanese encephalitis,mosquito,virus,N,expert system,early warning system,japanese encephalitis AND expert system AND early warning system,0
japanese encephalitis,mosquito,virus,N,expert system,diagnostic,japanese encephalitis AND expert system AND diagnostic,4
japanese encephalitis,mosquito,virus,N,random forest,surveillance,japanese encephalitis AND random forest AND surveillance,1
japanese encephalitis,mosquito,virus,N,random forest,forecast,japanese encephalitis AND random forest AND forecast,0
japanese encephalitis,mosquito,virus,N,random forest,early warning system,japanese encephalitis AND random forest AND early warning system,0
japanese encephalitis,mosquito,virus,N,random forest,diagnostic,japanese encephalitis AND random forest AND diagnostic,1
japanese encephalitis,mosquito,virus,N,decision trees,surveillance,japanese encephalitis AND decision trees AND surveillance,0
japanese encephalitis,mosquito,virus,N,decision trees,forecast,japanese encephalitis AND decision trees AND forecast,0
japanese encephalitis,mosquito,virus,N,decision trees,early warning system,japanese encephalitis AND decision trees AND early warning system,0
japanese encephalitis,mosquito,virus,N,decision trees,diagnostic,japanese encephalitis AND decision trees AND diagnostic,0
japanese encephalitis,mosquito,virus,N,gradient boosting,surveillance,japanese encephalitis AND gradient boosting AND surveillance,0
japanese encephalitis,mosquito,virus,N,gradient boosting,forecast,japanese encephalitis AND gradient boosting AND forecast,0
japanese encephalitis,mosquito,virus,N,gradient boosting,early warning system,japanese encephalitis AND gradient boosting AND early warning system,0
japanese encephalitis,mosquito,virus,N,gradient boosting,diagnostic,japanese encephalitis AND gradient boosting AND diagnostic,0
japanese encephalitis,mosquito,virus,N,natural language processing,surveillance,japanese encephalitis AND natural language processing AND surveillance,0
japanese encephalitis,mosquito,virus,N,natural language processing,forecast,japanese encephalitis AND natural language processing AND forecast,0
japanese encephalitis,mosquito,virus,N,natural language processing,early warning system,japanese encephalitis AND natural language processing AND early warning system,0
japanese encephalitis,mosquito,virus,N,natural language processing,diagnostic,japanese encephalitis AND natural language processing AND diagnostic,0
japanese encephalitis,mosquito,virus,N,sentiment analysis,surveillance,japanese encephalitis AND sentiment analysis AND surveillance,0
japanese encephalitis,mosquito,virus,N,sentiment analysis,forecast,japanese encephalitis AND sentiment analysis AND forecast,0
japanese encephalitis,mosquito,virus,N,sentiment analysis,early warning system,japanese encephalitis AND sentiment analysis AND early warning system,0
japanese encephalitis,mosquito,virus,N,sentiment analysis,diagnostic,japanese encephalitis AND sentiment analysis AND diagnostic,0
japanese encephalitis,mosquito,virus,N,fuzzy logic,surveillance,japanese encephalitis AND fuzzy logic AND surveillance,0
japanese encephalitis,mosquito,virus,N,fuzzy logic,forecast,japanese encephalitis AND fuzzy logic AND forecast,0
japanese encephalitis,mosquito,virus,N,fuzzy logic,early warning system,japanese encephalitis AND fuzzy logic AND early warning system,0
japanese encephalitis,mosquito,virus,N,fuzzy logic,diagnostic,japanese encephalitis AND fuzzy logic AND diagnostic,0
west nile fever,mosquito,virus,N,deep learning,surveillance,west nile fever AND deep learning AND surveillance,0
west nile fever,mosquito,virus,N,deep learning,forecast,west nile fever AND deep learning AND forecast,0
west nile fever,mosquito,virus,N,deep learning,early warning system,west nile fever AND deep learning AND early warning system,0
west nile fever,mosquito,virus,N,deep learning,diagnostic,west nile fever AND deep learning AND diagnostic,0
west nile fever,mosquito,virus,N,machine learning,surveillance,west nile fever AND machine learning AND surveillance,10
west nile fever,mosquito,virus,N,machine learning,forecast,west nile fever AND machine learning AND forecast,1
west nile fever,mosquito,virus,N,machine learning,early warning system,west nile fever AND machine learning AND early warning system,0
west nile fever,mosquito,virus,N,machine learning,diagnostic,west nile fever AND machine learning AND diagnostic,3
west nile fever,mosquito,virus,N,k-means clustering,surveillance,west nile fever AND k-means clustering AND surveillance,0
west nile fever,mosquito,virus,N,k-means clustering,forecast,west nile fever AND k-means clustering AND forecast,0
west nile fever,mosquito,virus,N,k-means clustering,early warning system,west nile fever AND k-means clustering AND early warning system,0
west nile fever,mosquito,virus,N,k-means clustering,diagnostic,west nile fever AND k-means clustering AND diagnostic,0
west nile fever,mosquito,virus,N,logistic regression,surveillance,west nile fever AND logistic regression AND surveillance,59
west nile fever,mosquito,virus,N,logistic regression,forecast,west nile fever AND logistic regression AND forecast,4
west nile fever,mosquito,virus,N,logistic regression,early warning system,west nile fever AND logistic regression AND early warning system,1
west nile fever,mosquito,virus,N,logistic regression,diagnostic,west nile fever AND logistic regression AND diagnostic,21
west nile fever,mosquito,virus,N,support vector machine,surveillance,west nile fever AND support vector machine AND surveillance,6
west nile fever,mosquito,virus,N,support vector machine,forecast,west nile fever AND support vector machine AND forecast,0
west nile fever,mosquito,virus,N,support vector machine,early warning system,west nile fever AND support vector machine AND early warning system,0
west nile fever,mosquito,virus,N,support vector machine,diagnostic,west nile fever AND support vector machine AND diagnostic,0
west nile fever,mosquito,virus,N,text mining,surveillance,west nile fever AND text mining AND surveillance,3
west nile fever,mosquito,virus,N,text mining,forecast,west nile fever AND text mining AND forecast,0
west nile fever,mosquito,virus,N,text mining,early warning system,west nile fever AND text mining AND early warning system,0
west nile fever,mosquito,virus,N,text mining,diagnostic,west nile fever AND text mining AND diagnostic,2
west nile fever,mosquito,virus,N,artificial neural networks,surveillance,west nile fever AND artificial neural networks AND surveillance,0
west nile fever,mosquito,virus,N,artificial neural networks,forecast,west nile fever AND artificial neural networks AND forecast,0
west nile fever,mosquito,virus,N,artificial neural networks,early warning system,west nile fever AND artificial neural networks AND early warning system,0
west nile fever,mosquito,virus,N,artificial neural networks,diagnostic,west nile fever AND artificial neural networks AND diagnostic,0
west nile fever,mosquito,virus,N,expert system,surveillance,west nile fever AND expert system AND surveillance,4
west nile fever,mosquito,virus,N,expert system,forecast,west nile fever AND expert system AND forecast,1
west nile fever,mosquito,virus,N,expert system,early warning system,west nile fever AND expert system AND early warning system,0
west nile fever,mosquito,virus,N,expert system,diagnostic,west nile fever AND expert system AND diagnostic,3
west nile fever,mosquito,virus,N,random forest,surveillance,west nile fever AND random forest AND surveillance,7
west nile fever,mosquito,virus,N,random forest,forecast,west nile fever AND random forest AND forecast,1
west nile fever,mosquito,virus,N,random forest,early warning system,west nile fever AND random forest AND early warning system,0
west nile fever,mosquito,virus,N,random forest,diagnostic,west nile fever AND random forest AND diagnostic,1
west nile fever,mosquito,virus,N,decision trees,surveillance,west nile fever AND decision trees AND surveillance,5
west nile fever,mosquito,virus,N,decision trees,forecast,west nile fever AND decision trees AND forecast,1
west nile fever,mosquito,virus,N,decision trees,early warning system,west nile fever AND decision trees AND early warning system,0
west nile fever,mosquito,virus,N,decision trees,diagnostic,west nile fever AND decision trees AND diagnostic,2
west nile fever,mosquito,virus,N,gradient boosting,surveillance,west nile fever AND gradient boosting AND surveillance,1
west nile fever,mosquito,virus,N,gradient boosting,forecast,west nile fever AND gradient boosting AND forecast,0
west nile fever,mosquito,virus,N,gradient boosting,early warning system,west nile fever AND gradient boosting AND early warning system,0
west nile fever,mosquito,virus,N,gradient boosting,diagnostic,west nile fever AND gradient boosting AND diagnostic,0
west nile fever,mosquito,virus,N,natural language processing,surveillance,west nile fever AND natural language processing AND surveillance,0
west nile fever,mosquito,virus,N,natural language processing,forecast,west nile fever AND natural language processing AND forecast,0
west nile fever,mosquito,virus,N,natural language processing,early warning system,west nile fever AND natural language processing AND early warning system,0
west nile fever,mosquito,virus,N,natural language processing,diagnostic,west nile fever AND natural language processing AND diagnostic,0
west nile fever,mosquito,virus,N,sentiment analysis,surveillance,west nile fever AND sentiment analysis AND surveillance,1
west nile fever,mosquito,virus,N,sentiment analysis,forecast,west nile fever AND sentiment analysis AND forecast,0
west nile fever,mosquito,virus,N,sentiment analysis,early warning system,west nile fever AND sentiment analysis AND early warning system,0
west nile fever,mosquito,virus,N,sentiment analysis,diagnostic,west nile fever AND sentiment analysis AND diagnostic,0
west nile fever,mosquito,virus,N,fuzzy logic,surveillance,west nile fever AND fuzzy logic AND surveillance,1
west nile fever,mosquito,virus,N,fuzzy logic,forecast,west nile fever AND fuzzy logic AND forecast,0
west nile fever,mosquito,virus,N,fuzzy logic,early warning system,west nile fever AND fuzzy logic AND early warning system,0
west nile fever,mosquito,virus,N,fuzzy logic,diagnostic,west nile fever AND fuzzy logic AND diagnostic,1
Schistosomiasis,aquatic snail,parasite,Y,deep learning,surveillance,Schistosomiasis AND deep learning AND surveillance,3
Schistosomiasis,aquatic snail,parasite,Y,deep learning,forecast,Schistosomiasis AND deep learning AND forecast,1
Schistosomiasis,aquatic snail,parasite,Y,deep learning,early warning system,Schistosomiasis AND deep learning AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,deep learning,diagnostic,Schistosomiasis AND deep learning AND diagnostic,5
Schistosomiasis,aquatic snail,parasite,Y,machine learning,surveillance,Schistosomiasis AND machine learning AND surveillance,29
Schistosomiasis,aquatic snail,parasite,Y,machine learning,forecast,Schistosomiasis AND machine learning AND forecast,5
Schistosomiasis,aquatic snail,parasite,Y,machine learning,early warning system,Schistosomiasis AND machine learning AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,machine learning,diagnostic,Schistosomiasis AND machine learning AND diagnostic,18
Schistosomiasis,aquatic snail,parasite,Y,k-means clustering,surveillance,Schistosomiasis AND k-means clustering AND surveillance,4
Schistosomiasis,aquatic snail,parasite,Y,k-means clustering,forecast,Schistosomiasis AND k-means clustering AND forecast,0
Schistosomiasis,aquatic snail,parasite,Y,k-means clustering,early warning system,Schistosomiasis AND k-means clustering AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,k-means clustering,diagnostic,Schistosomiasis AND k-means clustering AND diagnostic,1
Schistosomiasis,aquatic snail,parasite,Y,logistic regression,surveillance,Schistosomiasis AND logistic regression AND surveillance,250
Schistosomiasis,aquatic snail,parasite,Y,logistic regression,forecast,Schistosomiasis AND logistic regression AND forecast,8
Schistosomiasis,aquatic snail,parasite,Y,logistic regression,early warning system,Schistosomiasis AND logistic regression AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,logistic regression,diagnostic,Schistosomiasis AND logistic regression AND diagnostic,134
Schistosomiasis,aquatic snail,parasite,Y,support vector machine,surveillance,Schistosomiasis AND support vector machine AND surveillance,6
Schistosomiasis,aquatic snail,parasite,Y,support vector machine,forecast,Schistosomiasis AND support vector machine AND forecast,2
Schistosomiasis,aquatic snail,parasite,Y,support vector machine,early warning system,Schistosomiasis AND support vector machine AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,support vector machine,diagnostic,Schistosomiasis AND support vector machine AND diagnostic,8
Schistosomiasis,aquatic snail,parasite,Y,text mining,surveillance,Schistosomiasis AND text mining AND surveillance,5
Schistosomiasis,aquatic snail,parasite,Y,text mining,forecast,Schistosomiasis AND text mining AND forecast,1
Schistosomiasis,aquatic snail,parasite,Y,text mining,early warning system,Schistosomiasis AND text mining AND early warning system,2
Schistosomiasis,aquatic snail,parasite,Y,text mining,diagnostic,Schistosomiasis AND text mining AND diagnostic,2
Schistosomiasis,aquatic snail,parasite,Y,artificial neural networks,surveillance,Schistosomiasis AND artificial neural networks AND surveillance,4
Schistosomiasis,aquatic snail,parasite,Y,artificial neural networks,forecast,Schistosomiasis AND artificial neural networks AND forecast,0
Schistosomiasis,aquatic snail,parasite,Y,artificial neural networks,early warning system,Schistosomiasis AND artificial neural networks AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,artificial neural networks,diagnostic,Schistosomiasis AND artificial neural networks AND diagnostic,2
Schistosomiasis,aquatic snail,parasite,Y,expert system,surveillance,Schistosomiasis AND expert system AND surveillance,15
Schistosomiasis,aquatic snail,parasite,Y,expert system,forecast,Schistosomiasis AND expert system AND forecast,2
Schistosomiasis,aquatic snail,parasite,Y,expert system,early warning system,Schistosomiasis AND expert system AND early warning system,1
Schistosomiasis,aquatic snail,parasite,Y,expert system,diagnostic,Schistosomiasis AND expert system AND diagnostic,9
Schistosomiasis,aquatic snail,parasite,Y,random forest,surveillance,Schistosomiasis AND random forest AND surveillance,18
Schistosomiasis,aquatic snail,parasite,Y,random forest,forecast,Schistosomiasis AND random forest AND forecast,1
Schistosomiasis,aquatic snail,parasite,Y,random forest,early warning system,Schistosomiasis AND random forest AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,random forest,diagnostic,Schistosomiasis AND random forest AND diagnostic,8
Schistosomiasis,aquatic snail,parasite,Y,decision trees,surveillance,Schistosomiasis AND decision trees AND surveillance,7
Schistosomiasis,aquatic snail,parasite,Y,decision trees,forecast,Schistosomiasis AND decision trees AND forecast,0
Schistosomiasis,aquatic snail,parasite,Y,decision trees,early warning system,Schistosomiasis AND decision trees AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,decision trees,diagnostic,Schistosomiasis AND decision trees AND diagnostic,3
Schistosomiasis,aquatic snail,parasite,Y,gradient boosting,surveillance,Schistosomiasis AND gradient boosting AND surveillance,5
Schistosomiasis,aquatic snail,parasite,Y,gradient boosting,forecast,Schistosomiasis AND gradient boosting AND forecast,1
Schistosomiasis,aquatic snail,parasite,Y,gradient boosting,early warning system,Schistosomiasis AND gradient boosting AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,gradient boosting,diagnostic,Schistosomiasis AND gradient boosting AND diagnostic,3
Schistosomiasis,aquatic snail,parasite,Y,natural language processing,surveillance,Schistosomiasis AND natural language processing AND surveillance,1
Schistosomiasis,aquatic snail,parasite,Y,natural language processing,forecast,Schistosomiasis AND natural language processing AND forecast,0
Schistosomiasis,aquatic snail,parasite,Y,natural language processing,early warning system,Schistosomiasis AND natural language processing AND early warning system,0
Schistosomiasis,aquatic snail,parasite,Y,natural language processing,diagnostic,Schistosomiasis AND natural language processing AND diagnostic,1
Schistosomiasis,aquatic snail,parasite,Y,sentiment analysis,surveillance,Schistosomiasis AND sentiment analysis AND surveillance,0
Schistosomiasis,aquatic snail,parasite,Y,sentiment analysis,forecast,Schistosomiasis AND sentiment analysis AND forecast,0
